"product-ratingsContainer","product-ratingsCount","product-separator","product-base href","img-responsive src","product-brand","product-product","product-sizeInventoryPresent","product-sizeInventoryPresent 2","product-sizeInventoryPresent 3","product-sizeInventoryPresent 4","product-sizeInventoryPresent 5","product-discountedPrice","product-strike","product-discountPercentage","product-sizeButton","product-sizeButton 2","product-sizeButton 3","product-sizeButton 4","product-sizeButton 5","xcelerator-plpXceleratorImageTag"
"","","","https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-women-orange-brand-logo-printed-t-shirt/19475202/buy","","HRX by Hrithik Roshan","Women Brand Logo Printed T-shirt","XS,","S,","M,","L,","XL","Rs. 479","Rs. 799","(40% OFF)","XS","S","M","L","XL",""
"4.4","2.5k","|","https://www.myntra.com/socks/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-ankle-length-pack-of-3-terry-socks/10986456/buy","","HRX by Hrithik Roshan","Men Lifestyle Socks","Onesize","","","","","Rs. 389","Rs. 599","(35% OFF)","Onesize","","","","",""
"4.2","52","|","https://www.myntra.com/caps/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-unisex-navy-beanie/7157896/buy","","HRX by Hrithik Roshan","Unisex Beanie","Onesize","","","","","Rs. 399","Rs. 999","(60% OFF)","Onesize","","","","",""
"4.3","895","|","https://www.myntra.com/trunk/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-lifestyle-black-solid-trunk-ls-7014c/6747432/buy","","HRX by Hrithik Roshan","Lifestyle Trunk","S,","M,","L,","XL","","Rs. 274","Rs. 499","(45% OFF)","S","M","L","XL","",""
"4.2","29","|","https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-training-women-formula-red-rapid-dry-brand-carrier-t-shirt/15178084/buy","","HRX by Hrithik Roshan","Training Rapid-Dry T-shirt","XS,","S,","M,","L,","XL","Rs. 494","Rs. 899","(45% OFF)","XS","S","M","L","XL","NEW SEASON"
"4.6","10","|","https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-black-typography-printed-rapid-dry-training-t-shirt/18657890/buy","","HRX by Hrithik Roshan","Rapid-Dry Training T-Shirt","S,","M,","L,","XL,","XXL","Rs. 409","Rs. 999","(59% OFF)","S","M","L","XL","XXL",""
"4.5","15","|","https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-black-typography-printed-rapid-dry-training-t-shirt/18657954/buy","","HRX by Hrithik Roshan","Rapid-Dry Training T-Shirt","S,","M,","L,","XL,","XXL","Rs. 404","Rs. 899","(55% OFF)","S","M","L","XL","XXL",""
"4.5","112","|","https://www.myntra.com/shorts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-u-17-boys-kombu-green-solid-rapid-dry-antimicrobial-active-shorts/13688508/buy","","HRX by Hrithik Roshan","U-17 Boys Active Shorts","8-9Y,","10-11Y,","12-13Y,","14-15Y,","16-17Y","Rs. 479","Rs. 1499","(68% OFF)","8-9Y","10-11Y","12-13Y","14-15Y","16-17Y",""
"4.4","3.5k","|","https://www.myntra.com/socks/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-quarter-length-pack-of-3-terry-socks/976814/buy","","HRX by Hrithik Roshan","Men Training Socks","Onesize","","","","","Rs. 269","Rs. 599","(55% OFF)","Onesize","","","","",""
"4.7","20","|","https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-lifestyle-u-17-boys-white-bio-wash-brand-carrier-tshirts/18162600/buy","","HRX by Hrithik Roshan","U-17 Boys Lifestyle Tshirts","8-9Y,","10-11Y,","12-13Y,","14-15Y,","16-17Y","Rs. 329","Rs. 599","(45% OFF)","8-9Y","10-11Y","12-13Y","14-15Y","16-17Y",""
