Mobile Phone,Total Ratings, Price ,Text1,Model Name,OS,Display,Display Type,Battery Capacity,,
"        Nokia C01 Plus 4G, 5.45” HD+ Screen, Selfie Camera with Front Flash (Blue)       ","2,281 ratings"," ₹ 5,699.00 ",Nokia,Nokia C01,Android 11 (Go edition),         5.45 inches    ,         TFT    ,3000,,
        vivo Y15s Mystic Blue (3GB RAM & 32GB ROM) with No Cost EMI/Additional Exchange Offers       ,352 ratings," ₹ 9,499.00 ",Vivo,Y15s,FunTouch OS 10,         16.55 cm    ,         LCD    ,5000,,
"        Tecno Spark 8 Pro (Interstellar Black,7GB Expandable RAM, 64GB Storage) 33W Fast Charger | Helio G85 Gaming Processor | 6.8""(17.2cm) FHD+Dot-in Display | 48MP Triple Camera       ","3,792 ratings"," ₹ 8,999.00 ",Tecno,Tecno Spark 8 Pro (4/64GB),HiOS 7.6 based on Android 11,         6.8 inches    ,         LTPS    ,5000,,
"        Nokia C01 Plus 4G, 5.45” HD+ Screen, Selfie Camera with Front Flash (Grey)       ","2,281 ratings"," ₹ 5,699.00 ",Nokia,Nokia C01,Android 11 (Go edition),         5.45 inches    ,         TFT    ,3000,,
"        Nokia C01 Plus 4G, 5.45” HD+ Screen, Selfie Camera with Front Flash | 32GB Storage (Grey)       ","2,281 ratings"," ₹ 6,299.00 ",Nokia,Nokia C01 Plus,Android 11 (Go edition),         5.45 inches    ,         TFT    ,3000,,
        Vivo Y15s Wave Green (3GB RAM & 32GB ROM) with No Cost EMI/Additional Exchange Offers       ,352 ratings," ₹ 9,499.00 ",Vivo,Y15s,FunTouch OS 10,         16.55 cm    ,         LCD    ,5000,,
"        POCO C31 (Royal Blue, 64 GB) (4 GB RAM)       ",141 ratings,,Poco,C31,Android 10.0,         6.53 inches    ,         LCD    ,         5000 Milliamp Hours    ,,
"        Redmi 10A (Slate Grey, 3GB RAM, 32GB Storage) | 2 Ghz Octa Core Helio G25 | 5000 mAh Battery | Finger Print Sensor | Upto 5GB RAM with RAM Booster       ","5,292 ratings"," ₹ 8,499.00 ",Redmi,Redmi 10A,MIUI 12.5,         6.53 inches    ,         LCD    ,5000,,
"        JioFi Jio Phone Next 32 GB ROM, 2 GB RAM, Blue, Smartphone       ",236 ratings,,JioFi,JIO PHONE NEXT,Android 10.0,         LCD    ,         3500 Milliamp Hours    ,         2 GB    ,,
"        Lava Z21 (2GB RAM, 32GB ROM)-Blue| Octa Core Processor| Stock Android 11| Powerful 3100 mAh Battery       ",360 ratings," ₹ 5,299.00 ",Lava,Lava Z21,Stock Android 11 Go,         5 inches    ,         FWVGA    ,3100,,
"        Samsung Galaxy A03 Black, 3GB RAM, 32GB Storage Without Offers       ",74 ratings,,Samsung,Samsung Galaxy A03,Android 11,         6.5 inches    ,         LCD    ,5000,,
