Model_Name,Display_Final,Battery_Final,Front_Camera_Final,RAM_Final,Rear_Camera_Final,Processor_Final,Price,,,,,,,,,,,,,,,,,,,,,,,
10.or G2,Screen Size 6.18 inches (15.7 cm),Battery 5000 mAh,Front Camera 12 MP,RAM 6 GB,Rear Camera 16 MP + 5 MP,"Processor Octa core (1.8 GHz, Quad core, Kryo 260 + 1.6 GHz, Quad core, Kryo 260)","7,999",,,,,,,,,,,,,,,,,,,,,,,
Gionee Max,Screen Size 6.1 inches (15.49 cm),Battery 5000 mAh,Front Camera 5 MP,RAM 2 GB,Rear Camera 13 MP,"Processor Octa core, 1.6 GHz, Cortex A55","5,999",,,,,,,,,,,,,,,,,,,,,,,
Infinix Smart 4 Plus,Screen Size 6.82 inches (17.32 cm),Battery 6000 mAh,Front Camera 8 MP,RAM 3 GB,Rear Camera 13 MP,"Processor Octa core (1.8 GHz, Quad core, Cortex A53 + 1.5 GHz, Quad core, Cortex A53)","7,999",,,,,,,,,,,,,,,,,,,,,,,
Panasonic Eluga I7,Screen Size 5.45 inches (13.84 cm),Battery 4000 mAh,Front Camera 8 MP,RAM 2 GB,Rear Camera 8 MP,"Processor Quad core, 1.3 GHz, Cortex A53","5,798",,,,,,,,,,,,,,,,,,,,,,,
Samsung Galaxy M01s,Screen Size 6.2 inches (15.75 cm),Battery 4000 mAh,Front Camera 8 MP,RAM 3 GB,Rear Camera 13 MP + 2 MP,"Processor Octa core, 2 GHz, Cortex A53","9,310",,,,,,,,,,,,,,,,,,,,,,,
Samsung Galaxy A10,Screen Size 6.2 inches (15.75 cm),Battery 3400 mAh,Front Camera 5 MP,RAM 2 GB,Rear Camera 13 MP,"Processor Octa core (1.6 GHz, Dual core, Cortex A73 + 1.35 GHz, Hexa Core, Cortex A53)","7,990",,,,,,,,,,,,,,,,,,,,,,,
Infinix Smart 4,Screen Size 6.82 inches (17.32 cm),Battery 6000 mAh,Front Camera 8 MP,RAM 2 GB,Rear Camera 13 MP,"Processor Quad core, 2 GHz, Cortex A53","6,999",,,,,,,,,,,,,,,,,,,,,,,
Vivo Y91i,Screen Size 6.22 inches (15.8 cm),Battery 4030 mAh,Front Camera 5 MP,RAM 2 GB,Rear Camera 13 MP,"Processor Octa core, 2 GHz, Cortex A53","9,934",,,,,,,,,,,,,,,,,,,,,,,
Nokia C3 2020,Screen Size 5.99 inches (15.21 cm),Battery 3040 mAh,Front Camera 5 MP,RAM 2 GB,Rear Camera 8 MP,"Processor Octa core, 1.6 GHz, Cortex A55","7,499",,,,,,,,,,,,,,,,,,,,,,,
Micromax IN 1B,Screen Size 6.52 inches (16.56 cm),Battery 5000 mAh,Front Camera 8 MP,RAM 2 GB,Rear Camera 13 MP + 2 MP,"Processor Octa core, 2.3 GHz, Cortex A53","7,499",,,,,,,,,,,,,,,,,,,,,,,
