Product Name,Sum of Price,Shipping Mode,Category,Sub-Category
Chhota Investor The Small Investment Service,₹ 499,Paid Shipping!,Services,Bengaluru
Chhota Investor The Small Investment Service,₹ 499,Paid Shipping!,Services,Chennai
Chhota Investor The Small Investment Service,₹ 499,Paid Shipping!,Services,Mumbai
Chicken Biriyani Combo Meal - 1/2 kg Biryani+100gm pokoda+500ml Cola(Chennai),₹ 199,Free Shipping!,Foods,Biryani
Chicken Biryani Plate 1/2 kg(Chennai),₹ 120,Free Shipping!,Foods,Biryani
Chicken Biryani Plate 1/2 kg(Chennai),₹ 120,Free Shipping!,Foods,Non Veg
Chicken Pakora-200Gm (Chennai),₹ 99,Paid Shipping!,Foods,Biryani
Chicken Pakora-200Gm (Chennai),₹ 99,Paid Shipping!,Foods,Non Veg
Cleaning Service,₹ 499,Paid Shipping!,Services,Bengaluru
Cleaning Service,₹ 499,Paid Shipping!,Services,Chennai
Coaching Service,₹ 0,Paid Shipping!,Services,Bengaluru
Coaching Service,₹ 0,Paid Shipping!,Services,Chennai
Color Clay Set for Kids Children Colors Air Dry Clay,₹ 199,Free Shipping!,Accessories,Stationery
Color Clay Set for Kids Children Colors Air Dry Clay,₹ 199,Free Shipping!,Toys & Games,Gaming Accessories
Color Clay Set for Kids Children Colors Air Dry Clay,₹ 199,Free Shipping!,Toys & Games,Soft Toys
Combo pack Toys Savoir Robot and Barbie doll,₹ 949,Free Shipping!,Toys & Games,Gaming Accessories
Combo Set of 6 Pull Back Toy Car Small,₹ 299,Free Shipping!,Toys & Games,Gaming Accessories
Computer Coding Class Java and Python for Kids STD 1 to STD 10 Age group 5yrs to 15yrs (Free 5 Demo Classes),₹ 499,Paid Shipping!,Services,Bengaluru
Computer Coding Class Java and Python for Kids STD 1 to STD 10 Age group 5yrs to 15yrs (Free 5 Demo Classes),₹ 499,Paid Shipping!,Services,Chennai
Computer Coding Class Java and Python for Kids STD 1 to STD 10 Age group 5yrs to 15yrs (Free 5 Demo Classes),₹ 499,Paid Shipping!,Services,Mumbai
Computer Coding Class Java and Python for Kids STD 1 to STD 10 Age group 5yrs to 15yrs (Free 5 Demo Classes),₹ 499,Paid Shipping!,Services,Online Live Tuition
Computer Repair Services,₹ 499,Paid Shipping!,Services,Bengaluru
Computer Repair Services,₹ 499,Paid Shipping!,Services,Chennai
Content Writing Internship Training Program,"₹ 9,999",Paid Shipping!,Services,Bengaluru
Content Writing Internship Training Program,"₹ 9,999",Paid Shipping!,Services,Chennai
Content Writing Internship Training Program,"₹ 9,999",Paid Shipping!,Services,Mumbai
Content Writing Internship Training Program,"₹ 9,999",Paid Shipping!,Services,Training Internship Work From Home
Cooking OiL 1Liter(Berhampur),₹ 99,Paid Shipping!,Foods,Organic Foods
Country Chicken (Desi Murga) Clean without skin 1kg(Berhampur),₹ 599,Free Shipping!,Foods,Non Veg
Country Chicken (Desi Murga) Clean without skin 500gm(Berhampur),₹ 299,Paid Shipping!,Foods,Non Veg
Country Chicken (Desi Murga) Curry Cut with skin 500gm(Berhampur),₹ 249,Paid Shipping!,Foods,Non Veg
Country Chicken (Desi Murga) Eggs 12pcs(Berhampur),₹ 199,Paid Shipping!,Foods,Non Veg
Country Chicken (Desi Murga) Eggs 6pcs(Berhampur),₹ 99,Paid Shipping!,Foods,Non Veg
Country Chicken (Desi Murga) raw with skin 1kg(Berhampur),₹ 499,Free Shipping!,Foods,Non Veg
Cyber Security Internship Training Program,"₹ 19,999",Paid Shipping!,Services,Bengaluru
Cyber Security Internship Training Program,"₹ 19,999",Paid Shipping!,Services,Chennai
Cyber Security Internship Training Program,"₹ 19,999",Paid Shipping!,Services,Mumbai
Cyber Security Internship Training Program,"₹ 19,999",Paid Shipping!,Services,Training Internship Work From Home
Data Analyst Internship Training Program,"₹ 19,999",Paid Shipping!,Services,Bengaluru
Data Analyst Internship Training Program,"₹ 19,999",Paid Shipping!,Services,Chennai
Data Analyst Internship Training Program,"₹ 19,999",Paid Shipping!,Services,Mumbai
Data Analyst Internship Training Program,"₹ 19,999",Paid Shipping!,Services,Training Internship Work From Home
Data Analyst Training Program With Real Time Project,₹ 499,Paid Shipping!,Services,Online Live Tuition
Data Engineer Internship Training Program,"₹ 19,999",Paid Shipping!,Services,Bengaluru
Data Engineer Internship Training Program,"₹ 19,999",Paid Shipping!,Services,Chennai
Data Engineer Internship Training Program,"₹ 19,999",Paid Shipping!,Services,Mumbai
Data Engineer Internship Training Program,"₹ 19,999",Paid Shipping!,Services,Training Internship Work From Home
Data Science and Python Training Program for Everyone(Age=10yrs to 70yrs),₹ 999,Paid Shipping!,Services,Bengaluru
Data Science and Python Training Program for Everyone(Age=10yrs to 70yrs),₹ 999,Paid Shipping!,Services,Chennai
Data Science and Python Training Program for Everyone(Age=10yrs to 70yrs),₹ 999,Paid Shipping!,Services,Mumbai
Data Science and Python Training Program for Everyone(Age=10yrs to 70yrs),₹ 999,Paid Shipping!,Services,Online Live Tuition
Data Science and Python Training Program for Everyone(Age=10yrs to 70yrs),₹ 999,Paid Shipping!,Services,Training Internship Work From Home
Data Science Internship Training Program,"₹ 19,999",Paid Shipping!,Services,Bengaluru
Data Science Internship Training Program,"₹ 19,999",Paid Shipping!,Services,Chennai
Data Science Internship Training Program,"₹ 19,999",Paid Shipping!,Services,Mumbai
Data Science Internship Training Program,"₹ 19,999",Paid Shipping!,Services,Training Internship Work From Home
Data Science Training Program With Real Time Project,₹ 499,Free Shipping!,Services,Online Live Tuition
Davidson Sunglasses Unisex Metal Body Tony Stark Style and Inspired By Shahid Kapoor Kabir Singh,₹ 399,Paid Shipping!,Fasion,Men
Dell KB216 Multimedia USB Wired Keyboard,₹ 499,Paid Shipping!,Laptops,Computers Accessories
Dell KB216 Multimedia USB Wired Keyboard,₹ 499,Paid Shipping!,Laptops,Laptop Accessories
DENIM Ladies JEANS By DEYON,₹ 799,Free Shipping!,Fasion,Women
Designer Gown By ZARA,"₹ 1,999",Free Shipping!,Fasion,Women
Designer Wedding Wear Saree By ARADHANA,"₹ 1,999",Free Shipping!,Fasion,Women
Detective& Security Services,₹ 999,Paid Shipping!,Services,Bengaluru
Detective& Security Services,₹ 999,Paid Shipping!,Services,Chennai
Dhoni Printed Back Case Cover for Samsung J7,₹ 269,Free Shipping!,Mobiles,Mobiles Accessories
Diabolo Captain America Civil War Q Series Hyun Lights Upgraded Mini Drone Without Camera,"₹ 1,299",Free Shipping!,Toys & Games,Drones
Diabolo Captain America Civil War Q Series Hyun Lights Upgraded Mini Drone Without Camera,"₹ 1,299",Free Shipping!,Toys & Games,Gaming Accessories
Diabolo Captain America Civil War Q Series Hyun Lights Upgraded Mini Drone Without Camera,"₹ 1,299",Free Shipping!,Toys & Games,RC Toys
Digital Marketing Internship Training Program,"₹ 9,999",Paid Shipping!,Services,Bengaluru
Digital Marketing Internship Training Program,"₹ 9,999",Paid Shipping!,Services,Chennai
Digital Marketing Internship Training Program,"₹ 9,999",Paid Shipping!,Services,Mumbai
Digital Marketing Internship Training Program,"₹ 9,999",Paid Shipping!,Services,Training Internship Work From Home
Digital Marketing Services,₹ 100,Paid Shipping!,Services,Bengaluru
Digital Marketing Services,₹ 100,Paid Shipping!,Services,Chennai
Digital Marketing Services,₹ 100,Paid Shipping!,Services,Mumbai
Digital Signature Certificate (DSC) Class 2 valid for 2 Years with USB Device,₹ 600,Free Shipping!,Services,Bengaluru
Digital Signature Certificate (DSC) Class 2 valid for 2 Years with USB Device,₹ 600,Free Shipping!,Services,Chennai
Digital Wrist Watch Unisex,₹ 199,Free Shipping!,Electronics,Others
Digital Wrist Watch Unisex,₹ 199,Free Shipping!,Fasion,Men
DOMYOS S500 Boys Gym Sports Half-Sleeved T-Shirt (Grey),₹ 399,Free Shipping!,Fasion,Kids
DOMYOS S500 Boys Gym Sports Half-Sleeved T-Shirt (Grey),₹ 399,Free Shipping!,Fasion,Men
DOMYOS Slim-Fit Gym Sports T-Shirt (Black),₹ 299,Free Shipping!,Fasion,Men
Drone Workshop Training Program,"₹ 1,999",Free Shipping!,Services,Bengaluru
Drone Workshop Training Program,"₹ 1,999",Free Shipping!,Services,Chennai
Drone Workshop Training Program,"₹ 1,999",Free Shipping!,Services,Mumbai
Drone Workshop Training Program,"₹ 1,999",Free Shipping!,Services,Online Live Tuition
Drone Workshop Training Program,"₹ 1,999",Free Shipping!,Toys & Games,Drones
Drone Workshop Training Program,"₹ 1,999",Paid Shipping!,Services,Training Internship Work From Home
Egg Biriyani Plate 1/2 kg. (Chennai),₹ 99,Paid Shipping!,Foods,Biryani
Egg Biriyani Plate 1/2 kg. (Chennai),₹ 99,Paid Shipping!,Foods,Non Veg
Electrician Services,₹ 499,Paid Shipping!,Services,Bengaluru
Electrician Services,₹ 499,Paid Shipping!,Services,Chennai
Electrician Services,₹ 499,Paid Shipping!,Services,Mumbai
"Falcon Drone Four Axis Aircraft with 2.4 GHz RC, Blade Guard, Headless Mode LED Without Camera","₹ 2,299",Free Shipping!,Toys & Games,Drones
"Falcon Drone Four Axis Aircraft with 2.4 GHz RC, Blade Guard, Headless Mode LED Without Camera","₹ 2,299",Free Shipping!,Toys & Games,Gaming Accessories
"Falcon Drone Four Axis Aircraft with 2.4 GHz RC, Blade Guard, Headless Mode LED Without Camera","₹ 2,299",Free Shipping!,Toys & Games,RC Toys
Family Doll and Barbie doll set Toy Combo pack,₹ 749,Free Shipping!,Toys & Games,Gaming Accessories
FERNWEH ORIGINALS INSTANT COFFEE,₹ 99,Free Shipping!,Foods,Organic Foods
Finance Internship Training Program,"₹ 9,999",Paid Shipping!,Services,Bengaluru
Finance Internship Training Program,"₹ 9,999",Paid Shipping!,Services,Chennai
Finance Internship Training Program,"₹ 9,999",Paid Shipping!,Services,Mumbai
Finance Internship Training Program,"₹ 9,999",Paid Shipping!,Services,Training Internship Work From Home
Flying Avengers Hero Induction Control helicopter,₹ 599,Free Shipping!,Toys & Games,RC Toys
Franchise Cum Investment Program,"₹ 50,000",Paid Shipping!,Services,Bengaluru
Franchise Cum Investment Program,"₹ 50,000",Paid Shipping!,Services,Chennai
Franchise Cum Investment Program,"₹ 50,000",Paid Shipping!,Services,Mumbai
Franchise Cum Investment Program,"₹ 50,000",Paid Shipping!,Services,Online Live Tuition
Franchise Cum Investment Program,"₹ 50,000",Paid Shipping!,Services,Training Internship Work From Home
Franchise ESOP Program,₹ 500,Paid Shipping!,Services,Bengaluru
Franchise ESOP Program,₹ 500,Paid Shipping!,Services,Chennai
Franchise ESOP Program,₹ 500,Paid Shipping!,Services,Mumbai
Franchise ESOP Program,₹ 500,Paid Shipping!,Services,Online Live Tuition
Franchise ESOP Program,₹ 500,Paid Shipping!,Services,PCD Pharma Franchise
Franchise ESOP Program,₹ 500,Paid Shipping!,Services,Training Internship Work From Home
Free Gift Value of Rs.999 and Get Free Paytm Money Demat Account,₹ 0,Free Shipping!,Laptops,Computers Accessories
Free Gift Value of Rs.999 and Get Free Paytm Money Demat Account,₹ 0,Free Shipping!,Laptops,Laptop Accessories
Free Gift Value of Rs.999 and Get Free Paytm Money Demat Account,₹ 0,Free Shipping!,Mobiles,Mobiles Accessories
Free Gift Value of Rs.999 and Get Free Paytm Money Demat Account,₹ 0,Free Shipping!,Services,Bengaluru
Free Gift Value of Rs.999 and Get Free Paytm Money Demat Account,₹ 0,Free Shipping!,Services,Chennai
Free Gift Value of Rs.999 and Get Free Paytm Money Demat Account,₹ 0,Free Shipping!,Services,Mumbai
Free Gift Value of Rs.999 and Get Free Paytm Money Demat Account,₹ 0,Free Shipping!,Services,Sponsorship Marketing
Free Gift Value of Rs.999 and Get Free Paytm Money Demat Account,₹ 0,Free Shipping!,Toys & Games,Gaming Accessories
Fresh Cow Milk 1Liter(Berhampur),₹ 50,Paid Shipping!,Foods,Organic Foods
Fresh Cow Milk 500ml(Berhampur),₹ 25,Paid Shipping!,Foods,Organic Foods
Fresh Curd 500ml(Berhampur),₹ 45,Paid Shipping!,Foods,Organic Foods
